"id","k","c1","c2","lt","unitVolume","initialStock"
1,12.65,2.03,84.25,6,0.9722,661
2,61.97,4.3,80.18,5,0.5077,1734
3,75.99,9.52,157.82,4,0.1936,1590
4,29.06,4.22,276.07,4,0.3272,789
5,73.2,4.72,84.82,4,0.3137,1761
6,66.82,9.28,118.4,3,0.7651,757
7,48.86,2.69,218.37,4,0.2301,1482
8,325.58,7.16,548.68,6,0.1801,2111
9,1347.49,13.27,1090.6,16,0.1966,4716
10,531.85,10.55,534.75,7,0.324,4206
11,223.04,13.03,834.41,6,0.0691,1740
12,101.34,12.51,680.88,4,0.5793,948
13,74.39,5.23,172.74,4,0.4888,1548
14,495.39,8.02,624.28,7,0.3586,3012
15,45.9,8.38,563.15,3,0.9609,767
16,74.58,10.51,897.08,4,1.0094,1317
17,51.16,4.06,210.79,5,0.2724,2383
18,171.02,12.1,498.25,5,0.2687,2230
19,2082.35,12.06,121.38,14,0.1182,7674
20,180.37,13.93,307.38,3,0.5091,1488
21,62.76,6.3,90.25,4,0.5074,1176
22,50.35,3.42,193.45,3,0.9742,1573
23,5.94,1.48,91.63,3,0.9479,792
24,23.79,13.63,239.15,4,2.5664,233
25,171.3,8.36,192.23,6,0.4344,620
26,147.99,3.16,312.57,12,0.2385,2422
27,161.72,7.84,241.79,5,0.1475,1867
28,62.89,13.78,855.91,4,0.8648,775
29,51.49,5.49,119.16,3,1.1881,511
30,1515.05,9.38,533.14,15,0.0076,5719
31,317.48,9.69,186.01,5,0.2123,2657
32,17.72,2.71,42.79,4,0.2689,884
33,141.4,10.9,430.09,3,0.1754,1104
34,111.29,7.32,624.79,3,0.9659,1941
35,239.46,11.75,599.02,4,0.0123,2698
36,81.59,4.61,381.68,5,0.4248,1206
37,180.19,4.28,43.53,6,0.1005,2321
38,49.16,2.37,19.76,5,0.294,2313
39,1442.35,8.25,76.1,10,0.0475,3941
40,105.57,6.12,428.22,4,0.4658,1005
41,198.57,12.57,161.48,3,0.0321,1680
42,156.19,8.84,61.51,8,0.3612,1158
43,87.04,9.02,612.06,3,0.7369,1310
44,68.3,13.23,327.61,4,1.0743,409
45,35.67,1.56,102.02,6,0.0211,3024
46,71.26,6.54,228.13,4,0.8779,1178
47,151.17,9.99,964.4,5,0.4062,1548
48,72.51,10.64,318.51,4,0.6922,1619
49,262.26,4.34,43.09,8,0.0553,1766
50,168.31,5.5,71.53,5,0.4915,1708
51,20.82,8.13,735.7,5,1.1649,615
52,325.37,8.26,482.31,11,0.4113,1975
53,253.5,12.48,372.64,4,0.3239,1355
54,493.85,9.32,778.82,7,0.1036,3510
55,414.14,13.05,110.95,5,0.0301,1293
56,24.27,1.94,66.51,4,0.0371,1214
57,44.2,2.31,42.86,4,0.0724,2326
58,198.66,11.52,275.02,4,0.0467,1944
59,466.77,6.07,370.81,10,0.0645,2369
60,69.66,8.68,551.15,5,0.8436,1293
61,43.52,2.49,32.94,5,0.7797,610
62,70.87,7.03,106.27,4,0.4689,1565
63,8.27,1.23,76.99,5,0.3362,449
64,248.79,7.85,33.13,7,0.0732,1750
65,877.96,4.76,34.38,10,0.0788,7627
66,49.91,13.27,448.78,3,1.4444,393
67,127.05,7.13,422.15,4,0.2918,1428
68,523.37,13.69,657.35,6,0.2107,2581
69,136.76,13.49,773.35,4,1.2261,509
70,35.98,3.19,170.73,4,0.1093,1081
71,378.01,6.83,583.09,10,0.1197,3193
72,108.09,10.75,104.72,6,0.4414,1413
73,91.01,12.42,921.98,5,0.6923,1034
74,24.91,9.48,780.97,5,0.441,523
75,227.78,13.85,764.53,4,0.048,2194
76,31.33,1.99,126.03,4,0.1728,1332
77,105.84,12.92,119.06,4,0.043,1451
78,5.09,1.23,21.3,4,0.8825,867
79,53,9.93,439.52,6,0.3107,655
80,273.42,13.75,989.52,4,0.3145,2904
81,53.14,10.69,404.76,5,0.9472,716
82,81.12,4.46,185.98,5,0.1209,1688
83,227.25,12.37,856.65,3,0.9035,1208
84,19.56,2.14,107.97,4,0.4286,1554
85,126.19,9.36,179.31,4,0.6819,1005
86,281.5,3.84,60.1,7,0.3495,2586
87,201.08,11.55,617.19,4,0.5198,1751
88,54.61,6.29,251.29,5,1.0643,526
89,94.47,7.6,51.57,6,0.2572,1259
90,69.1,4.47,35.26,5,0.2531,953
91,93.75,3.17,35.82,10,0.4095,1163
92,134.27,9.45,45.57,4,0.0981,1751
93,453.54,10.2,43.46,6,0.2285,2259
94,506.2,11.39,505.92,6,0.3692,1957
95,53.87,3.2,189.49,5,0.426,1823
96,22.05,6.18,51.46,4,0.8446,845
97,565.55,9.91,263.15,6,0.4144,3854
98,41.6,2.58,10.37,9,0.2623,856
99,60.62,9.51,42.16,5,0.532,652
